reference_id,entity_id,claim_id,rank,property_id,datatype,datavalue,entity_label,entity_label_lan,property_label,property_label_lan,entity_alias,entity_alias_lan,property_alias,property_alias_lan,entity_desc,entity_desc_lan,property_desc,property_desc_lan,object_label,object_label_lan,object_alias,object_alias_lan,object_desc,object_desc_lan
74188de4f031ca41e7927959f818816dbdfc29af,Q99607134,Q99607134$2818F414-8F79-4677-8D9F-AD9B7E977A4A,normal,P577,time,"{'value': {'time': '+2016-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,en,publication date,en,no-alias,none,"['first released', 'first published', 'air date', 'pubdate', 'date of first publication', 'first publication', 'airdate', 'release date', 'date published', 'date released', 'published', 'dop', 'year of publication', 'initial release', 'date of release', 'date of publication', 'released', 'time of publication', 'publication', 'publication time', 'launched', 'launch date', 'released in', 'was published in', 'be published in', 'be published during', 'was published during']",en,UK Statutory Instrument 2016 No. 12,en,date or point in time when a work was first published or released,en,2016,en,no-alias,none,no-desc,none
74188de4f031ca41e7927959f818816dbdfc29af,Q99607134,Q99607134$888C5051-B289-4AFD-BA46-1BACC37B44CF,normal,P1031,string,"{'value': 'SI 2016 No. 12', 'type': 'string'}",The Value Added Tax (Section 55A) (Specified Services and Excepted Supplies) Order 2016,en,legal citation of this text,en,no-alias,none,"['case citation', 'neutral citation', 'parallel citation', 'statute citation', 'regulation citation', 'citation']",en,UK Statutory Instrument 2016 No. 12,en,legal citation of legislation or a court decision,en,SI 2016 No. 12,en,no-alias,none,no-desc,none
4b03e3a418714c354f5a2a3cb4fbdbf1fa5f8cdf,Q99650979,Q99650979$4A78EBEF-E2A0-4148-8B39-9D28E9352775,normal,P31,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7604686, 'id': 'Q7604686'}, 'type': 'wikibase-entityid'}","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",en,instance of,en,no-alias,none,"['is a', 'is an', 'has class', 'has type', 'is a particular', 'is a specific', 'is an individual', 'is a unique', 'is an example of', 'member of', 'unique individual of', 'distinct member of', 'unitary element of class', 'distinct element of', 'distinct individual member of', 'rdf:type', 'type', 'main type', 'is a(n)', 'type of', 'is a type of']",en,UK Statutory Instrument 2014 No. 3063,en,that class of which this subject is a particular example and member,en,UK Statutory Instrument,en,no-alias,none,type of secondary legislation in the United Kingdom,en
4b03e3a418714c354f5a2a3cb4fbdbf1fa5f8cdf,Q99650979,Q99650979$88C84BDE-9012-4425-B54A-3EF5A3B30A4C,normal,P1448,monolingualtext,"{'value': {'text': 'The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014', 'language': 'en'}, 'type': 'monolingualtext'}","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",en,official name,en,no-alias,none,"['long name', 'complete title', 'legal name', 'official title', 'name', 'registered name', 'full title', 'be named']",en,UK Statutory Instrument 2014 No. 3063,en,official name of the subject in its official language(s),en,"The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",en,no-alias,none,no-desc,none
4b03e3a418714c354f5a2a3cb4fbdbf1fa5f8cdf,Q99650979,Q99650979$66C8EA52-BE9C-464D-B975-5EDA14CBC87B,normal,P1001,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 145, 'id': 'Q145'}, 'type': 'wikibase-entityid'}","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",en,applies to jurisdiction,en,no-alias,none,"['of jurisdiction', 'linked to jurisdiction', 'belongs to jurisdiction', 'jurisdiction', 'country of jurisdiction', 'valid in jurisdiction', 'applies to territorial jurisdiction', 'applied to jurisdiction', 'applies to place', 'applies to area', 'applies to geographic place', 'applies to geographic area', 'applies to region']",en,UK Statutory Instrument 2014 No. 3063,en,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",en,United Kingdom,en,"['🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']",en,country in Western Europe,en
4b03e3a418714c354f5a2a3cb4fbdbf1fa5f8cdf,Q99650979,Q99650979$B8EEB49F-A6F6-494E-9851-B81F8B11595A,normal,P577,time,"{'value': {'time': '+2014-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",en,publication date,en,no-alias,none,"['first released', 'first published', 'air date', 'pubdate', 'date of first publication', 'first publication', 'airdate', 'release date', 'date published', 'date released', 'published', 'dop', 'year of publication', 'initial release', 'date of release', 'date of publication', 'released', 'time of publication', 'publication', 'publication time', 'launched', 'launch date', 'released in', 'was published in', 'be published in', 'be published during', 'was published during']",en,UK Statutory Instrument 2014 No. 3063,en,date or point in time when a work was first published or released,en,2014,en,no-alias,none,no-desc,none
4b03e3a418714c354f5a2a3cb4fbdbf1fa5f8cdf,Q99650979,Q99650979$0CE64E61-90E0-43EB-8E12-3B9CE2728EA4,normal,P1031,string,"{'value': 'SI 2014 No. 3063', 'type': 'string'}","The A500 Trunk Road (Talke Roundabout, Staffordshire) (Temporary Restriction and Prohibition of Traffic) Order 2014",en,legal citation of this text,en,no-alias,none,"['case citation', 'neutral citation', 'parallel citation', 'statute citation', 'regulation citation', 'citation']",en,UK Statutory Instrument 2014 No. 3063,en,legal citation of legislation or a court decision,en,SI 2014 No. 3063,en,no-alias,none,no-desc,none
77340cf24c8ce0ad15b86f0b82d5aa79f539def4,Q99685323,Q99685323$FACA1CCA-19F4-4981-8E8C-D051436C887A,normal,P31,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7604686, 'id': 'Q7604686'}, 'type': 'wikibase-entityid'}","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",en,instance of,en,no-alias,none,"['is a', 'is an', 'has class', 'has type', 'is a particular', 'is a specific', 'is an individual', 'is a unique', 'is an example of', 'member of', 'unique individual of', 'distinct member of', 'unitary element of class', 'distinct element of', 'distinct individual member of', 'rdf:type', 'type', 'main type', 'is a(n)', 'type of', 'is a type of']",en,UK Statutory Instrument 2011 No. 574,en,that class of which this subject is a particular example and member,en,UK Statutory Instrument,en,no-alias,none,type of secondary legislation in the United Kingdom,en
77340cf24c8ce0ad15b86f0b82d5aa79f539def4,Q99685323,Q99685323$FA318FAA-6354-4FF5-A0C5-A2B2A2981AC0,normal,P1448,monolingualtext,"{'value': {'text': 'The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011', 'language': 'en'}, 'type': 'monolingualtext'}","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",en,official name,en,no-alias,none,"['long name', 'complete title', 'legal name', 'official title', 'name', 'registered name', 'full title', 'be named']",en,UK Statutory Instrument 2011 No. 574,en,official name of the subject in its official language(s),en,"The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",en,no-alias,none,no-desc,none
77340cf24c8ce0ad15b86f0b82d5aa79f539def4,Q99685323,Q99685323$3AE880C6-AA60-4124-968F-37AD72D6700B,normal,P1001,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 145, 'id': 'Q145'}, 'type': 'wikibase-entityid'}","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",en,applies to jurisdiction,en,no-alias,none,"['of jurisdiction', 'linked to jurisdiction', 'belongs to jurisdiction', 'jurisdiction', 'country of jurisdiction', 'valid in jurisdiction', 'applies to territorial jurisdiction', 'applied to jurisdiction', 'applies to place', 'applies to area', 'applies to geographic place', 'applies to geographic area', 'applies to region']",en,UK Statutory Instrument 2011 No. 574,en,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",en,United Kingdom,en,"['🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']",en,country in Western Europe,en
77340cf24c8ce0ad15b86f0b82d5aa79f539def4,Q99685323,Q99685323$D9855DE7-2BF6-4C88-A832-31502A1CE94C,normal,P577,time,"{'value': {'time': '+2011-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",en,publication date,en,no-alias,none,"['first released', 'first published', 'air date', 'pubdate', 'date of first publication', 'first publication', 'airdate', 'release date', 'date published', 'date released', 'published', 'dop', 'year of publication', 'initial release', 'date of release', 'date of publication', 'released', 'time of publication', 'publication', 'publication time', 'launched', 'launch date', 'released in', 'was published in', 'be published in', 'be published during', 'was published during']",en,UK Statutory Instrument 2011 No. 574,en,date or point in time when a work was first published or released,en,2011,en,no-alias,none,no-desc,none
77340cf24c8ce0ad15b86f0b82d5aa79f539def4,Q99685323,Q99685323$E9A6AD36-A34F-4EC5-A285-6D50B23B8331,normal,P1031,string,"{'value': 'SI 2011 No. 574', 'type': 'string'}","The A428 Trunk Road (A1/B1428 Great North Road Roundabout, North of Wyboston, Bedfordshire to B1043 Barford Road Roundabout, St Neots, Cambridgeshire) (Temporary 40 Miles Per Hour Speed Restriction) Order 2011",en,legal citation of this text,en,no-alias,none,"['case citation', 'neutral citation', 'parallel citation', 'statute citation', 'regulation citation', 'citation']",en,UK Statutory Instrument 2011 No. 574,en,legal citation of legislation or a court decision,en,SI 2011 No. 574,en,no-alias,none,no-desc,none
6d8ce4b1b011d51ea1ca4901fa8456909bc09413,Q99685431,Q99685431$1076C19A-A15B-418F-8553-6BBE75C41668,normal,P31,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 7604686, 'id': 'Q7604686'}, 'type': 'wikibase-entityid'}",The International Tax Enforcement (Grenada) Order 2011,en,instance of,en,no-alias,none,"['is a', 'is an', 'has class', 'has type', 'is a particular', 'is a specific', 'is an individual', 'is a unique', 'is an example of', 'member of', 'unique individual of', 'distinct member of', 'unitary element of class', 'distinct element of', 'distinct individual member of', 'rdf:type', 'type', 'main type', 'is a(n)', 'type of', 'is a type of']",en,UK Statutory Instrument 2011 No. 1687,en,that class of which this subject is a particular example and member,en,UK Statutory Instrument,en,no-alias,none,type of secondary legislation in the United Kingdom,en
6d8ce4b1b011d51ea1ca4901fa8456909bc09413,Q99685431,Q99685431$30AE0A6C-B59D-44A8-BA21-4ACE10E21345,normal,P1448,monolingualtext,"{'value': {'text': 'The International Tax Enforcement (Grenada) Order 2011', 'language': 'en'}, 'type': 'monolingualtext'}",The International Tax Enforcement (Grenada) Order 2011,en,official name,en,no-alias,none,"['long name', 'complete title', 'legal name', 'official title', 'name', 'registered name', 'full title', 'be named']",en,UK Statutory Instrument 2011 No. 1687,en,official name of the subject in its official language(s),en,The International Tax Enforcement (Grenada) Order 2011,en,no-alias,none,no-desc,none
6d8ce4b1b011d51ea1ca4901fa8456909bc09413,Q99685431,Q99685431$131E57C9-49B6-43C7-84FC-61426F1AF002,normal,P1001,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 145, 'id': 'Q145'}, 'type': 'wikibase-entityid'}",The International Tax Enforcement (Grenada) Order 2011,en,applies to jurisdiction,en,no-alias,none,"['of jurisdiction', 'linked to jurisdiction', 'belongs to jurisdiction', 'jurisdiction', 'country of jurisdiction', 'valid in jurisdiction', 'applies to territorial jurisdiction', 'applied to jurisdiction', 'applies to place', 'applies to area', 'applies to geographic place', 'applies to geographic area', 'applies to region']",en,UK Statutory Instrument 2011 No. 1687,en,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",en,United Kingdom,en,"['🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland']",en,country in Western Europe,en
6d8ce4b1b011d51ea1ca4901fa8456909bc09413,Q99685431,Q99685431$FF2E8796-9881-44FD-AC35-306CE28D115D,normal,P577,time,"{'value': {'time': '+2011-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",The International Tax Enforcement (Grenada) Order 2011,en,publication date,en,no-alias,none,"['first released', 'first published', 'air date', 'pubdate', 'date of first publication', 'first publication', 'airdate', 'release date', 'date published', 'date released', 'published', 'dop', 'year of publication', 'initial release', 'date of release', 'date of publication', 'released', 'time of publication', 'publication', 'publication time', 'launched', 'launch date', 'released in', 'was published in', 'be published in', 'be published during', 'was published during']",en,UK Statutory Instrument 2011 No. 1687,en,date or point in time when a work was first published or released,en,2011,en,no-alias,none,no-desc,none
6d8ce4b1b011d51ea1ca4901fa8456909bc09413,Q99685431,Q99685431$78D8D3D6-5485-44D8-AD3B-7E0797E725F6,normal,P1031,string,"{'value': 'SI 2011 No. 1687', 'type': 'string'}",The International Tax Enforcement (Grenada) Order 2011,en,legal citation of this text,en,no-alias,none,"['case citation', 'neutral citation', 'parallel citation', 'statute citation', 'regulation citation', 'citation']",en,UK Statutory Instrument 2011 No. 1687,en,legal citation of legislation or a court decision,en,SI 2011 No. 1687,en,no-alias,none,no-desc,none
